NAME	DESCRIPTION	GSM1169496	GSM1169497	GSM1169505	GSM1169506
ENSMUSG00000000001	NA	4459.59238389167	3057.24853687956	5424.84483903734	4153.74621730083
ENSMUSG00000000003	NA	0	0	0	0
ENSMUSG00000000028	NA	681.785943458623	644.846280872155	494.176006463874	507.376808916529
ENSMUSG00000000031	NA	857.320384125209	2946.43962942659	545.935089435152	1851.28310342012
ENSMUSG00000000037	NA	117.022960444391	66.9470482528371	76.406265338554	72.2530265862146
ENSMUSG00000000049	NA	0	0	0	0
ENSMUSG00000000056	NA	971.799367168635	888.779778529044	1027.78750471539	967.387744848762
ENSMUSG00000000058	NA	0	0	2.46471823672755	0.802811406513495
ENSMUSG00000000078	NA	2418.05051961724	3243.46906190469	9959.92639461603	10614.7724169214
ENSMUSG00000000085	NA	1174.04557054535	984.198559946881	1031.48458207048	777.924252911577
ENSMUSG00000000088	NA	1177.8615366468	1046.52857038918	697.515260993896	654.291296308499
ENSMUSG00000000093	NA	8.90392090337755	3.07802520702699	11.091232065274	4.01405703256748
ENSMUSG00000000094	NA	0	0	0	0
ENSMUSG00000000103	NA	0	0	0	0
ENSMUSG00000000120	NA	3.81596610144752	40.0143276913509	7.39415471018265	17.6618509432969
ENSMUSG00000000125	NA	7.63193220289504	2.30851890527025	2.46471823672755	0.802811406513495
ENSMUSG00000000126	NA	0	0	2.46471823672755	0
ENSMUSG00000000127	NA	8.90392090337755	19.2376575439187	2.46471823672755	11.2393596911889
ENSMUSG00000000131	NA	2714.42388682967	2944.90061682308	3263.28694542727	3054.69740178385
ENSMUSG00000000134	NA	256.941717497466	317.806102625537	333.969321076583	335.575167922641
ENSMUSG00000000142	NA	202.246203376719	227.004359018241	203.339254530023	115.604842537943
ENSMUSG00000000148	NA	273.477570603739	217.000777095403	229.218796015662	195.885983189293
ENSMUSG00000000149	NA	470.635819178527	343.19981058351	468.296464978234	362.067944337586
ENSMUSG00000000154	NA	0	3.84753150878374	3.69707735509132	0
ENSMUSG00000000157	NA	0	0	0	0.802811406513495
ENSMUSG00000000159	NA	0	0	6.16179559181887	0.802811406513495
ENSMUSG00000000167	NA	66.1434124250903	15.390126035135	34.5060553141857	26.4927764149454
ENSMUSG00000000168	NA	1015.04698298504	893.396816339585	786.245117516088	909.58532357979
ENSMUSG00000000171	NA	2080.97351398938	2259.27050195781	1725.30276570928	1902.66303343698
ENSMUSG00000000182	NA	0	0	0	0
ENSMUSG00000000183	NA	0	0	0	0
ENSMUSG00000000184	NA	5143.92230475126	5904.42185337953	4897.39513637764	5255.20346703734
ENSMUSG00000000194	NA	1071.01448580627	811.82914835337	829.37768665882	1015.55642923957
ENSMUSG00000000197	NA	0	0	0	0
ENSMUSG00000000202	NA	0	0	0	0
ENSMUSG00000000204	NA	0	4.61703781054049	1.23235911836377	2.40843421954049
ENSMUSG00000000214	NA	0	0	0	0
ENSMUSG00000000215	NA	0	0	0	0
ENSMUSG00000000216	NA	0	0	0	0
ENSMUSG00000000223	NA	3.81596610144752	12.312100828108	8.62651382854642	0.802811406513495
ENSMUSG00000000244	NA	25.4397740096501	20.7766701474322	12.3235911836377	19.2674737563239
ENSMUSG00000000247	NA	10.1759096038601	13.0816071298647	1.23235911836377	8.02811406513496
ENSMUSG00000000248	NA	2.54397740096501	0.769506301756748	0	0.802811406513495
ENSMUSG00000000253	NA	171.718474565138	137.741628014458	204.571613648387	129.252636448673
ENSMUSG00000000263	NA	2.54397740096501	0	3.69707735509132	3.21124562605398
ENSMUSG00000000266	NA	0	0	0	4.81686843908097
ENSMUSG00000000275	NA	5707.41329906501	5461.18622356764	5901.76781784412	5909.49476334584
ENSMUSG00000000276	NA	5713.77324256742	6611.59814469398	5702.12564066919	7083.20503966857
ENSMUSG00000000278	NA	110.663016941978	185.451018723376	139.256580375107	59.4080440819987
ENSMUSG00000000282	NA	1102.81420331833	889.549284830801	1006.8373997032	1123.13315771238
ENSMUSG00000000290	NA	199.702225975754	180.064474611079	276.048442513485	272.153066808075
ENSMUSG00000000295	NA	361.244790937032	319.345115229051	284.674956342032	258.505272897346
ENSMUSG00000000296	NA	1.27198870048251	0	0	3.21124562605398
ENSMUSG00000000301	NA	33.0717062125452	26.1632142597294	35.7384144325495	32.9152676670533
ENSMUSG00000000303	NA	1110.44613552123	1624.4278030085	1121.44679771103	1815.15659012701
ENSMUSG00000000305	NA	0	0.769506301756748	0	8.83092547164845
ENSMUSG00000000308	NA	1.27198870048251	0.769506301756748	0	0
